anio,cve_ent,metodo,perdida
2008,32,glofas,132829954.14138928
2009,01,glofas,1980035157.3689287
2009,02,glofas,38774449.753199674
2009,03,glofas,40.2676847035781
2009,04,glofas,93191991.45282474
2009,05,glofas,1158310890.3073
2009,06,glofas,98323906.78318119
2009,07,glofas,810427089.7394692
2009,08,glofas,518040920.8327742
2009,09,glofas,8044225317.198021
2009,10,glofas,563652528.3589276
2009,11,glofas,2804054801.981459
2009,12,glofas,284190351.2781513
2009,13,glofas,19880431.89191267
2009,14,glofas,3212078018.2286787
2009,15,glofas,38616699605.61846
2009,16,glofas,1193237654.0304606
2009,17,glofas,689258.6329809963
2009,18,glofas,1616759397.4193702
2009,19,glofas,2339443244.441564
2009,20,glofas,1191029504.923528
2009,21,glofas,5895783.04515494
2009,22,glofas,937119.2664392334
2009,23,glofas,4542892.773208691
2009,24,glofas,172498715.1333715
2009,25,glofas,3114719765.3575945
2009,26,glofas,2179240916.153038
2009,27,glofas,22643532354.876373
2009,28,glofas,8798395448.353115
2009,29,glofas,0.0
2009,30,glofas,6747713238.38946
2009,31,glofas,0.0
2009,32,glofas,58102969.690141134
2010,01,glofas,1537609964.1619353
2010,02,glofas,120292604.88012576
2010,03,glofas,9.976646801595244
2010,04,glofas,149713752.37115797
2010,05,glofas,5109854819.9740305
2010,06,glofas,454722592.1611308
2010,07,glofas,2432396939.992731
2010,08,glofas,1013356511.4568366
2010,09,glofas,23069391112.985847
2010,10,glofas,2535369345.895597
2010,11,glofas,10297825188.495823
2010,12,glofas,560683458.8772928
2010,13,glofas,35199422.219577216
2010,14,glofas,5222085918.351196
2010,15,glofas,71259215761.95732
2010,16,glofas,2832144197.004073
2010,17,glofas,714217.4432663672
2010,18,glofas,1935904140.8724177
2010,19,glofas,7272469259.958651
2010,20,glofas,2632136819.0964193
2010,21,glofas,10759847.234760225
2010,22,glofas,1956993.5170909534
2010,23,glofas,7912496.822278319
2010,24,glofas,317670204.5897362
2010,25,glofas,3064379403.9986596
2010,26,glofas,1891237011.3223662
2010,27,glofas,32958827842.79622
2010,28,glofas,18185098484.78576
2010,29,glofas,0.0
2010,30,glofas,11064505849.777609
2010,31,glofas,0.0
2010,32,glofas,89074291.21905372
